Piece,Part,Quantity,Supplier,Reference,Price,Stock
Main box,main,1,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/gear_motor_sleep_depriver/TODO,,
Box clips,main,2,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/gear_motor_sleep_depriver/TODO,,
Shafts,main,10,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/gear_motor_sleep_depriver/TODO,,
LED Panels,main,2,Polygonal Tree/Custom made,,,
USB A to micro cable(50cm),main,1,Farnel,http://uk.farnell.com/multicomp/mc001008/usb2-0-a-male-to-micro-usb-b-m/dp/2506103,$3,
Arduino micro,circuitry,1,RS,http://uk.rs-online.com/web/p/products/7798864/,$15,
TLC5947 PWM Driver,circuitry,1,Adafruit,https://www.adafruit.com/product/1429,$15,
Push button (optional),circuitry,,,,,
2 Row PCB Headers,circuitry,7,RS,http://uk.rs-online.com/web/p/pcb-headers/2518137/,$0.20,
6 Pin PCB Header,circuitry,1,RS,http://uk.rs-online.com/web/p/pcb-headers/2518137/,$0.40,
Female 3 pins crimps,circuitry,10,RS,,,
Crimps stuff,circuitry,20,RS,,,
Ribbon cable,circuitry,,,,,
N20 gear motor,motor,10,???,???,$4,
Silicon tubing 6x9 mm,motor,,,,,
Filter Box,opto,1,Polygonal Tree/Custom made,,,
Light Guides,opto,10,RS,http://uk.rs-online.com/web/p/led-light-pipes/8905782,2.50,
LED Fiber Optic Couplers,opto,10,Farnell,http://uk.farnell.com/vcc-visual-communications-company/thr-5-22/ledfiber-optic-coupler-5mm-leds/dp/2080152,0.60,
630 nm LEDs,opto,10,RS,http://uk.rs-online.com/web/p/visible-leds/9047367,0.15,
